Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,200+ Wickets Taken,<35.00 Bowling Avg,<4.00 Economy Rate,<40.00 Bowling Strike Rate
JM Anderson (2002-2015),191,9584,7861,269,May-23,29.22,4.92,35.6,11,2,1,1,0,1
D Gough (1994-2006),155,8422,6154,234,May-44,26.29,4.38,35.9,10,2,1,1,0,1
SCJ Broad (2006-2016),121,6109,5364,178,May-23,30.13,5.26,34.3,9,1,0,1,0,1
A Flintoff (1999-2009),116,5496,3968,168,May-19,23.61,4.33,32.7,6,2,0,1,0,1
IT Botham (1976-1992),115,6271,4139,145,Apr-31,28.54,3.96,43.2,3,0,0,1,1,0
AU Rashid (2009-2018),74,3940,3620,119,May-27,30.42,5.51,33.1,7,1,0,1,0,1
PAJ DeFreitas (1987-1997),103,5712,3775,115,Apr-35,32.82,3.96,49.6,1,0,0,1,1,0
LE Plunkett (2005-2018),73,3501,3424,115,May-52,29.77,5.86,30.4,5,1,0,1,0,1
CR Woakes (2011-2018),77,3768,3463,113,Jun-45,30.64,5.51,33.3,8,2,0,1,0,1
PD Collingwood (2001-2011),151,5186,4294,111,Jun-31,38.68,4.96,46.7,3,1,0,0,0,0
TT Bresnan (2006-2015),84,4221,3813,109,May-48,34.98,5.42,38.7,3,1,0,1,0,1
GP Swann (2000-2013),76,3809,2888,104,May-28,27.76,4.54,36.6,3,1,0,1,0,1
ST Finn (2011-2017),67,3550,2996,102,May-33,29.37,5.06,34.8,4,2,0,1,0,1
RGD Willis (1973-1984),64,3595,1968,80,04-Nov,24.6,3.28,44.9,4,0,0,1,1,0
MM Ali (2014-2018),83,4102,3501,78,Apr-46,44.88,5.12,52.5,1,0,0,0,0,0
JE Emburey (1980-1993),61,3425,2346,76,Apr-37,30.86,4.1,45,2,0,0,1,0,0
SJ Harmison (2002-2009),57,2899,2481,76,May-33,32.64,5.13,38.1,2,1,0,1,0,1
AR Caddick (1993-2003),53,2937,1965,69,Apr-19,28.47,4.01,42.5,3,0,0,1,0,0
MA Ealham (1996-2001),62,3227,2197,67,May-15,32.79,4.08,48.1,1,2,0,1,0,0
CC Lewis (1990-1998),49,2625,1942,66,Apr-30,29.42,4.43,39.7,4,0,0,1,0,1
C White (1994-2003),50,2364,1726,65,May-21,26.55,4.38,36.3,1,1,0,1,0,1
AD Mullally (1996-2001),49,2699,1728,63,Apr-18,27.42,3.84,42.8,2,0,0,1,1,0
JC Tredwell (2010-2015),44,2104,1666,60,Apr-41,27.76,4.75,35,3,0,0,1,0,1
NA Foster (1984-1989),48,2627,1836,59,Mar-20,31.11,4.19,44.5,0,0,0,1,0,0
GC Small (1987-1992),53,2793,1942,58,Apr-31,33.48,4.17,48.1,1,0,0,1,0,0
BA Stokes (2011-2018),61,2349,2386,58,May-61,41.13,6.09,40.5,1,1,0,0,0,0
AF Giles (1997-2005),57,2856,2069,55,May-57,37.61,4.34,51.9,0,1,0,0,0,0
GR Dilley (1979-1988),36,2043,1291,48,Apr-23,26.89,3.79,42.5,3,0,0,1,1,0
DJ Willey (2015-2018),41,1761,1665,48,Apr-34,34.68,5.67,36.6,2,0,0,1,0,1
ARC Fraser (1989-1999),42,2392,1412,47,Apr-22,30.04,3.54,50.8,1,0,0,1,1,0
RDB Croft (1996-2001),49,2466,1743,45,Mar-51,38.73,4.24,54.8,0,0,0,0,0,0
CM Old (1973-1981),31,1755,999,45,04-Aug,22.2,3.41,39,2,0,0,1,1,1
VJ Marks (1980-1988),32,1838,1135,44,May-20,25.79,3.7,41.7,0,2,0,1,1,0
DR Pringle (1982-1993),44,2379,1677,44,Apr-42,38.11,4.22,54,1,0,0,0,0,0
CJ Jordan (2013-2016),31,1532,1521,43,May-29,35.37,5.95,35.6,0,1,0,0,0,1
DG Cork (1992-2002),32,1772,1368,41,Mar-27,33.36,4.63,43.2,0,0,0,1,0,0
RS Bopara (2007-2015),74,1860,1523,40,Apr-38,38.07,4.91,46.5,1,0,0,0,0,0
EE Hemmings (1982-1991),32,1752,1294,37,Apr-52,34.97,4.43,47.3,1,0,0,1,0,0
GA Gooch (1976-1995),60,2066,1516,36,Mar-19,42.11,4.4,57.3,0,0,0,0,0,0
M Hendrick (1973-1981),22,1248,681,35,May-31,19.45,3.27,35.6,2,1,0,1,1,1
MA Wood (2015-2018),35,1789,1649,34,Apr-33,48.5,5.53,52.6,1,0,0,0,0,0
MJ Hoggard (2001-2006),26,1306,1152,32,May-49,36,5.29,40.8,0,1,0,0,0,0
AJ Hollioake (1996-1999),32,1208,1019,32,Apr-23,31.84,5.06,37.7,2,0,0,1,0,1
DL Underwood (1973-1982),24,1278,734,32,Apr-44,22.93,3.44,39.9,1,0,0,1,1,1
JW Dernbach (2011-2013),24,1234,1308,31,Apr-45,42.19,6.35,39.8,1,0,0,0,0,1
GA Hick (1991-2001),47,1236,1026,30,May-33,34.2,4.98,41.2,0,1,0,1,0,0
RK Illingworth (1991-1996),25,1501,1059,30,Mar-33,35.3,4.23,50,0,0,0,0,0,0
SI Mahmood (2004-2009),25,1197,1169,30,Apr-50,38.96,5.85,39.9,1,0,0,0,0,1
RJ Sidebottom (2001-2010),25,1277,1039,29,Mar-19,35.82,4.88,44,0,0,0,0,0,0
PJ Martin (1995-1998),20,1048,806,27,Apr-44,29.85,4.61,38.8,1,0,0,1,0,1
PH Edmonds (1977-1987),27,1534,965,26,Mar-39,37.11,3.77,59,0,0,0,0,1,0
G Miller (1977-1984),24,1268,813,25,Mar-27,32.52,3.84,50.7,0,0,0,1,1,0
ID Blackwell (2002-2006),26,1230,877,24,Mar-26,36.54,4.27,51.2,0,0,0,0,0,0
RC Irani (1996-2003),30,1283,989,24,May-26,41.2,4.62,53.4,1,1,0,0,0,0
PW Jarvis (1988-1993),16,879,672,24,May-35,28,4.58,36.6,1,1,0,0,0,0
JK Lever (1976-1982),22,1152,713,24,Apr-29,29.7,3.71,48,1,0,0,1,1,0
MS Panesar (2007-2007),26,1308,980,24,Mar-25,40.83,4.49,54.5,0,0,0,0,0,0
SR Patel (2008-2013),32,1187,1091,24,May-41,45.45,5.51,49.4,0,1,0,0,0,0
NG Cowans (1983-1985),23,1282,913,23,Mar-44,39.69,4.27,55.7,0,0,0,0,0,0
JT Ball (2016-2018),18,947,980,21,May-51,46.66,6.2,45,0,1,0,0,0,0
MH Yardy (2006-2011),28,1332,1075,21,Mar-24,51.19,4.84,63.4,0,0,0,0,0,0
Kabir Ali (2003-2006),13,673,682,20,Apr-45,34.1,6.08,33.6,1,0,0,0,0,0
DA Reeve (1991-1996),28,1147,820,20,Mar-20,41,4.28,57.3,0,0,0,0,0,0
JE Root (2013-2018),60,1342,1299,20,Mar-52,64.95,5.8,67.1,0,0,0,0,0,0
GG Arnold (1972-1975),13,714,339,19,Apr-27,17.84,2.84,37.5,1,0,0,0,0,0
AW Greig (1972-1977),19,916,619,19,Apr-45,32.57,4.05,48.2,1,0,0,0,0,0
RD Jackman (1974-1983),15,873,598,19,Mar-41,31.47,4.1,45.9,0,0,0,0,0,0
PCR Tufnell (1990-1997),20,1020,699,19,Apr-22,36.78,4.11,53.6,1,0,0,0,0,0
TK Curran (2017-2018),11,496,515,18,May-35,28.61,6.22,27.5,0,1,0,0,0,0
J Lewis (2005-2007),13,716,500,18,Apr-36,27.77,4.18,39.7,1,0,0,0,0,0
AG Wharf (2004-2005),13,584,428,18,Apr-24,23.77,4.39,32.4,1,0,0,0,0,0
DJ Capel (1987-1990),22,1038,805,17,Mar-38,47.35,4.65,61,0,0,0,0,0,0
MV Fleming (1997-1998),11,523,434,17,Apr-45,25.52,4.97,30.7,1,0,0,0,0,0
A Shahzad (2010-2011),11,588,490,17,Mar-41,28.82,5,34.5,0,0,0,0,0,0
DE Malcolm (1990-1994),10,526,404,16,Mar-40,25.25,4.6,32.8,0,0,0,0,0,0
RJW Topley (2015-2016),10,463,410,16,Apr-50,25.62,5.31,28.9,1,0,0,0,0,0
MP Vaughan (2001-2007),28,796,649,16,Apr-22,40.56,4.89,49.7,1,0,0,0,0,0
PJW Allott (1982-1985),13,819,552,15,Mar-41,36.8,4.04,54.6,0,0,0,0,0,0
CT Tremlett (2005-2011),15,784,705,15,Apr-32,47,5.39,52.2,1,0,0,0,0,0
LJ Wright (2007-2014),37,1038,884,15,Feb-34,58.93,5.1,69.2,0,0,0,0,0,0
JWM Dalrymple (2006-2007),23,840,666,14,02-May,47.57,4.75,60,0,0,0,0,0,0
JA Snow (1971-1975),8,538,232,14,04-Nov,16.57,2.58,38.4,2,0,0,0,0,0
MP Bicknell (1990-1991),7,413,347,13,Mar-55,26.69,5.04,31.7,0,0,0,0,0,0
AD Mascarenhas (2007-2009),20,822,634,13,Mar-23,48.76,4.62,63.2,0,0,0,0,0,0
JN Snape (2001-2002),10,529,403,13,Mar-43,31,4.57,40.6,0,0,0,0,0,0
P Willey (1977-1986),22,1031,659,13,Mar-33,50.69,3.83,79.3,0,0,0,0,1,0
RM Ellison (1984-1986),14,696,510,12,Mar-42,42.5,4.39,58,0,0,0,0,0,0
R Clarke (2003-2006),14,469,415,11,Feb-28,37.72,5.3,42.6,0,0,0,0,0,0
HF Gurney (2014-2014),10,455,432,11,Apr-55,39.27,5.69,41.3,1,0,0,0,0,0
DW Headley (1996-1999),13,594,520,11,Feb-38,47.27,5.25,54,0,0,0,0,0,0
RL Johnson (2003-2003),9,402,239,11,Mar-22,21.72,3.56,36.5,0,0,0,0,0,0
P Lever (1971-1975),9,440,261,11,Apr-35,23.72,3.55,40,1,0,0,0,0,0
MW Alleyne (1999-2000),9,366,280,10,Mar-27,28,4.59,36.6,0,0,0,0,0,0
MW Gatting (1977-1993),14,392,336,10,Mar-32,33.6,5.14,39.2,0,0,0,0,0,0
WB Rankin (2013-2014),6,319,241,10,Apr-46,24.1,4.53,31.9,1,0,0,0,0,0
RJ Kirtley (2001-2004),11,549,481,9,Feb-33,53.44,5.25,61,0,0,0,0,0,0
SD Udal (1994-2005),11,612,400,9,Feb-37,44.44,3.92,68,0,0,0,0,0,0
B Wood (1972-1982),10,420,224,9,Feb-14,24.88,3.2,46.6,0,0,0,0,0,0
RA Woolmer (1972-1976),6,321,260,9,Mar-33,28.88,4.85,35.6,0,0,0,0,0,0
BC Hollioake (1997-2002),17,642,532,8,Feb-37,66.5,4.97,80.2,0,0,0,0,0,0
VJ Wells (1999-1999),8,220,189,8,Mar-30,23.62,5.15,27.5,0,0,0,0,0,0
DR Brown (1997-1998),9,324,305,7,Feb-28,43.57,5.64,46.2,0,0,0,0,0,0
SP Jones (2004-2005),7,348,275,7,Feb-43,39.28,4.74,49.7,0,0,0,0,0,0
KP Pietersen (2004-2013),23,400,370,7,Feb-22,52.85,5.55,57.1,0,0,0,0,0,0
OA Shah (2001-2009),10,193,184,7,Mar-15,26.28,5.72,27.5,0,0,0,0,0,0
GB Stevenson (1980-1981),4,192,125,7,Apr-33,17.85,3.9,27.4,1,0,0,0,0,0
SL Watkin (1994-1994),4,221,193,7,Apr-49,27.57,5.23,31.5,1,0,0,0,0,0
ID Austin (1998-1999),9,475,360,6,Feb-25,60,4.54,79.1,0,0,0,0,0,0
IR Bell (2004-2015),6,88,88,6,03-Sep,14.66,6,14.6,0,0,0,0,0,0
CEW Silverwood (1996-2001),7,306,244,6,Mar-43,40.66,4.78,51,0,0,0,0,0,0
NMK Smith (1996-1996),6,261,190,6,Mar-29,31.66,4.36,43.5,0,0,0,0,0,0
GJ Batty (2002-2009),9,440,366,5,Feb-40,73.2,4.99,88,0,0,0,0,0,0
G Boycott (1971-1981),6,168,105,5,Feb-14,21,3.75,33.6,0,0,0,0,0,0
NGB Cook (1984-1989),3,144,95,5,Feb-18,19,3.95,28.8,0,0,0,0,0,0
IDK Salisbury (1993-1994),4,186,177,5,Mar-41,35.4,5.7,37.2,0,0,0,0,0,0
N Gifford (1985-1985),2,120,50,4,Apr-23,12.5,2.5,30,1,0,0,0,0,0
R Illingworth (1971-1973),2,130,84,4,Mar-50,21,3.87,32.5,0,0,0,0,0,0
DV Lawrence (1991-1991),1,66,67,4,Apr-67,16.75,6.09,16.5,1,0,0,0,0,0
A McGrath (2003-2004),7,228,175,4,Jan-13,43.75,4.6,57,0,0,0,0,0,0
G Onions (2009-2009),4,204,185,4,Feb-58,46.25,5.44,51,0,0,0,0,0,0
SD Parry (2014-2014),2,114,92,4,Mar-32,23,4.84,28.5,0,0,0,0,0,0
MR Ramprakash (1991-2001),5,132,108,4,Mar-28,27,4.9,33,0,0,0,0,0,0
ME Trescothick (2000-2006),13,232,219,4,02-Jul,54.75,5.66,58,0,0,0,0,0,0
AJ Tudor (2002-2002),3,127,136,4,Feb-30,34,6.42,31.7,0,0,0,0,0,0
JP Agnew (1985-1985),3,126,120,3,Mar-38,40,5.71,42,0,0,0,0,0,0
LA Dawson (2016-2018),2,84,96,3,Feb-70,32,6.85,28,0,0,0,0,0,0
BL D'Oliveira (1971-1972),4,204,140,3,Jan-19,46.66,4.11,68,0,0,0,0,0,0
AP Grayson (2000-2001),2,90,60,3,Mar-40,20,4,30,0,0,0,0,0,0
JG Thomas (1986-1987),3,156,144,3,Feb-59,48,5.53,52,0,0,0,0,0,0
FJ Titmus (1975-1975),1,56,53,3,Mar-53,17.66,5.67,18.6,0,0,0,0,0,0
DR Briggs (2012-2012),1,60,39,2,Feb-39,19.5,3.9,30,0,0,0,0,0,0
GA Cope (1977-1978),2,112,35,2,Jan-16,17.5,1.87,56,0,0,0,0,0,0
CS Cowdrey (1985-1985),2,52,55,2,01-Mar,27.5,6.34,26,0,0,0,0,0,0
SM Curran (2018-2018),2,72,90,2,Feb-44,45,7.5,36,0,0,0,0,0,0
AP Igglesden (1994-1994),4,168,122,2,02-Dec,61,4.35,84,0,0,0,0,0,0
SC Meaker (2011-2011),2,114,110,2,Jan-45,55,5.78,57,0,0,0,0,0,0
NV Radford (1988-1988),6,348,230,2,Jan-32,115,3.96,174,0,0,0,0,0,0
CL Smith (1984-1984),2,36,28,2,02-Aug,14,4.66,18,0,0,0,0,0,0
GP Thorpe (1993-2002),5,120,97,2,Feb-15,48.5,4.85,60,0,0,0,0,0,0
IJL Trott (2009-2013),10,183,166,2,Feb-31,83,5.44,91.5,0,0,0,0,0,0
JE Benjamin (1994-1995),2,72,47,1,Jan-22,47,3.91,72,0,0,0,0,0,0
TE Jesty (1983-1983),4,108,93,1,Jan-23,93,5.16,108,0,0,0,0,0,0
D Lloyd (1973-1980),1,12,3,1,01-Mar,3,1.5,12,0,0,0,0,0,0
