Player,Matches Played,Innings Batted,Not Outs,Runs,Highest Score,Batting Avg,Balls Faced,Strike Rate,Centuries,Half Centuries,Ducks,Rating
V Kohli,216,208,37,10232,183,59.83,11016,92.88,38,48,12,890
MS Dhoni,329,278,77,9999,183,49.74,11435,87.44,9,67,9,875
CH Gayle,281,276,17,9672,215,37.34,11274,85.79,23,48,23,870
AB de Villiers,223,213,39,9427,176,54.17,9308,101.27,25,52,7,865
LRPL Taylor,210,195,34,7714,181,47.91,9274,83.17,20,45,9,830
HM Amla,169,166,11,7696,159,49.65,8618,89.3,26,36,4,828
RG Sharma,193,187,31,7454,264,47.78,8406,88.67,21,37,12,825
Shoaib Malik,274,246,40,7284,143,35.35,8910,81.75,9,43,13,0
WU Tharanga,231,219,17,6926,174,34.28,9108,76.04,15,37,17,0
Tamim Iqbal,186,184,8,6450,154,36.64,8254,78.14,11,44,16,679
BRM Taylor,188,187,15,6156,145,35.79,8085,76.14,10,36,14,0
Mohammad Hafeez,203,202,14,6153,140,32.72,8143,75.56,11,34,18,0
MJ Guptill,162,159,17,6129,237,43.16,7077,86.6,14,34,13,750
EJG Morgan,189,176,27,5813,124,39.01,6310,92.12,10,36,11,690
SK Raina,226,194,35,5615,116,35.31,6005,93.5,5,36,14,0
MN Samuels,207,196,26,5606,133,32.97,7463,75.11,10,30,11,0
H Masakadza,204,203,4,5604,178,28.16,7618,73.56,5,34,15,0
Shakib Al Hasan,195,183,24,5577,134,35.07,6863,81.26,7,40,10,0
AD Mathews,203,173,46,5380,139,42.36,6451,83.39,2,37,13,0
Mushfiqur Rahim,198,184,31,5346,144,34.94,6881,77.69,6,32,10,689
KS Williamson,132,126,11,5316,145,46.22,6384,83.27,11,35,5,736
JP Duminy,192,174,39,5016,150,37.15,5959,84.17,4,27,7,0
JE Root,121,115,19,4946,133,51.52,5722,86.43,13,29,4,791
S Dhawan,115,114,6,4935,137,45.69,5234,94.28,15,25,3,732
F du Plessis,124,119,15,4693,185,45.12,5298,88.58,10,29,3,801
DA Warner,106,104,4,4343,179,43.43,4498,96.55,14,17,2,0
E Chigumbura,210,195,26,4289,117,25.37,5376,79.78,2,19,17,0
