Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
SL Malinga,207,102732,9145,318,28.75,5.34,32.3,874.0
DW Steyn,118,60138,4893,190,25.75,4.88,31.6,861.0
Mashrafe Mortaza,200,10005,7985,257,31.07,4.78,38.9,856.0
JJ Bumrah,44,2212,1639,78,21.01,4.44,28.3,835.0
NLTC Perera,139,52524,5148,165,31.2,5.87,31.8,812.626937923188
Dawlat Zadran,70,32706,2914,98,29.73,5.34,33.3,810.6710212565215
RAS Lakmal,79,36852,3321,105,31.62,5.4,35.1,810.6710212565215
Shakib Al Hasan,192,9897,7333,247,29.68,4.44,40.0,810.0
TL Chatara,62,30366,2636,85,31.01,5.2,35.7,809.7082939837943
K Rabada,56,29106,2428,93,26.1,5.0,31.3,809.6082939837943
KJ O'Brien,107,40878,3575,112,31.91,5.24,36.5,809.1778177933181
Rubel Hossain,93,42324,3955,121,32.68,5.6,34.9,805.6994465811969
Mohammed Shami,51,2645,2449,94,26.05,5.55,28.1,805.6477276057278
CR Woakes,77,3768,3463,113,30.64,5.51,33.3,805.6477276057278
AU Rashid,74,3940,3620,119,30.42,5.51,33.1,805.6477276057278
LE Plunkett,73,3501,3424,115,29.77,5.86,30.4,805.6477276057278
KAJ Roach,79,3967,3312,114,29.05,5.0,34.7,804.5850003330006
Junaid Khan,71,3325,2896,104,27.84,5.22,31.9,804.5850003330006
MA Starc,75,3761,3109,145,21.44,4.95,25.9,804.1350003330007
Imran Tahir,89,46998,3675,151,24.33,4.69,31.1,800.0
TA Boult,71,3842,3326,129,25.78,5.19,29.7,800.0
Rashid Khan,50,26226,1708,118,14.47,3.9,22.2,800.0
AG Cremer,95,4680,3597,119,30.22,4.61,39.3,794.0570558885562
WB Rankin,52,2616,2067,74,27.93,4.74,35.3,791.1561669996672
B Kumar,94,4552,3784,99,38.22,4.98,45.9,790.0
AD Russell,51,2176,2128,65,32.73,5.86,33.4,785.353152930403
JO Holder,84,4058,3702,112,33.05,5.47,36.2,784.0948473748474
UT Yadav,73,3558,3565,106,33.63,6.01,33.5,783.9948473748475
TG Southee,135,6870,6202,179,34.64,5.41,38.3,779.3119862637363
RA Jadeja,140,7255,5905,169,34.94,4.88,42.9,770.0
PJ Cummins,42,2184,1933,65,29.73,5.31,33.6,766.960441891442
JR Hazlewood,43,2294,1811,72,25.15,4.73,31.8,759.9518812853814
M Morkel,111,5580,4595,180,25.52,4.94,31.0,750.0
Mustafizur Rahman,39,19644,1501,73,20.56,4.58,26.9,749.5271193806194
Mohammad Nabi,103,5058,3585,114,31.44,4.25,44.3,748.9384877067378
CB Mpofu,79,3765,3407,88,38.71,5.42,42.8,741.7024707792206
Mohammad Amir,46,2287,1810,58,31.2,4.74,39.4,739.7724844599845
MJ Santner,50,2449,2001,59,33.91,4.9,41.5,735.8729970862471
AD Mathews,154,50706,3901,114,34.21,4.61,44.4,733.5035677933178
BA Stokes,61,2349,2386,58,41.13,6.09,40.5,730.4147813852812
MJ Henry,37,1999,1902,71,26.78,5.7,28.1,727.972545066045
Hasan Ali,40,1981,1756,75,23.41,5.31,26.4,727.4371879231879
TJ Murtagh,44,2310,1725,58,29.74,4.48,39.8,723.0994289044288
E Chigumbura,129,41646,4057,95,42.7,5.84,43.8,718.3791735209234
MN Samuels,134,5091,4127,89,46.37,4.86,57.2,712.9148192640689
JP Duminy,129,34158,3045,67,45.44,5.34,51.0,712.1891735209233
Mahmudullah,129,40044,3421,75,45.61,5.12,53.4,711.1264462481962
Mohammad Hafeez,165,7409,5073,137,37.02,4.1,54.0,707.0635692640691
Kuldeep Yadav,31,1704,1345,67,20.07,4.73,25.4,706.9780717615716
SC Williams,98,3672,3008,60,50.13,4.91,61.2,706.3681525974024
MM Ali,83,4102,3501,78,44.88,5.12,52.5,705.7464859307358
GH Dockrell,75,37872,2907,81,35.88,4.6,46.7,704.7789462481961
Shoaib Malik,211,7868,6102,156,39.11,4.65,50.4,702.9959343434342
AL Phehlukwayo,34,13824,1325,43,30.81,5.74,32.1,697.1422514152515
