Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
SL Malinga,207,102732,9145,318,28.75,5.34,32.3,874
Mashrafe Mortaza,200,10005,7985,257,31.07,4.78,38.9,856
Shakib Al Hasan,192,9897,7333,247,29.68,4.44,40,810
DW Steyn,118,60138,4893,190,25.75,4.88,31.6,861
M Morkel,111,5580,4595,180,25.52,4.94,31,750
TG Southee,135,6870,6202,179,34.64,5.41,38.3,
RA Jadeja,140,7255,5905,169,34.94,4.88,42.9,770
CH Gayle,192,7275,5773,165,34.98,4.76,44,620
NLTC Perera,139,52524,5148,165,31.2,5.87,31.8,
Shoaib Malik,211,7868,6102,156,39.11,4.65,50.4,
Imran Tahir,89,46998,3675,151,24.33,4.69,31.1,800
MA Starc,75,3761,3109,145,21.44,4.95,25.9,
Mohammad Hafeez,165,7409,5073,137,37.02,4.1,54,
TA Boult,71,3842,3326,129,25.78,5.19,29.7,800
Rubel Hossain,93,42324,3955,121,32.68,5.6,34.9,
AU Rashid,74,3940,3620,119,30.42,5.51,33.1,
AG Cremer,95,4680,3597,119,30.22,4.61,39.3,
Rashid Khan,50,26226,1708,118,14.47,3.9,22.2,800
LE Plunkett,73,3501,3424,115,29.77,5.86,30.4,
AD Mathews,154,50706,3901,114,34.21,4.61,44.4,
Mohammad Nabi,103,5058,3585,114,31.44,4.25,44.3,
KAJ Roach,79,3967,3312,114,29.05,5,34.7,
CR Woakes,77,3768,3463,113,30.64,5.51,33.3,
KJ O'Brien,107,40878,3575,112,31.91,5.24,36.5,
JO Holder,84,4058,3702,112,33.05,5.47,36.2,
UT Yadav,73,3558,3565,106,33.63,6.01,33.5,
RAS Lakmal,79,36852,3321,105,31.62,5.4,35.1,
Junaid Khan,71,3325,2896,104,27.84,5.22,31.9,
B Kumar,94,4552,3784,99,38.22,4.98,45.9,790
Dawlat Zadran,70,32706,2914,98,29.73,5.34,33.3,
E Chigumbura,129,41646,4057,95,42.7,5.84,43.8,
Mohammed Shami,51,2645,2449,94,26.05,5.55,28.1,
K Rabada,56,29106,2428,93,26.1,5,31.3,
MN Samuels,134,5091,4127,89,46.37,4.86,57.2,
CB Mpofu,79,3765,3407,88,38.71,5.42,42.8,
TL Chatara,62,30366,2636,85,31.01,5.2,35.7,
GH Dockrell,75,37872,2907,81,35.88,4.6,46.7,
JJ Bumrah,44,2212,1639,78,21.01,4.44,28.3,835
MM Ali,83,4102,3501,78,44.88,5.12,52.5,
Mahmudullah,129,40044,3421,75,45.61,5.12,53.4,
Hasan Ali,40,1981,1756,75,23.41,5.31,26.4,
WB Rankin,52,2616,2067,74,27.93,4.74,35.3,
Mustafizur Rahman,39,19644,1501,73,20.56,4.58,26.9,
JR Hazlewood,43,2294,1811,72,25.15,4.73,31.8,
MJ Henry,37,1999,1902,71,26.78,5.7,28.1,
JP Duminy,129,34158,3045,67,45.44,5.34,51,
Kuldeep Yadav,31,1704,1345,67,20.07,4.73,25.4,
AD Russell,51,2176,2128,65,32.73,5.86,33.4,
PJ Cummins,42,2184,1933,65,29.73,5.31,33.6,
SC Williams,98,3672,3008,60,50.13,4.91,61.2,
MJ Santner,50,2449,2001,59,33.91,4.9,41.5,
BA Stokes,61,2349,2386,58,41.13,6.09,40.5,
Mohammad Amir,46,2287,1810,58,31.2,4.74,39.4,
TJ Murtagh,44,2310,1725,58,29.74,4.48,39.8,
YS Chahal,33,1807,1431,56,25.55,4.75,32.2,
Sikandar Raza,62,24732,1999,53,37.71,4.84,46.6,
DJ Willey,41,1761,1665,48,34.68,5.67,36.6,
BJ McCarthy,23,1194,1156,47,24.59,5.8,25.4,
A Dananjaya,28,14412,1239,46,26.93,5.15,31.3,
GJ Maxwell,66,1978,1844,45,40.97,5.59,43.9,
NO Miller,46,2125,1660,45,36.88,4.68,47.2,
KM Jarvis,40,19344,1812,45,40.26,5.61,43,
MR Marsh,50,1700,1564,44,35.54,5.52,38.6,
Samiullah Shinwari,63,2001,1638,44,37.22,4.9,45.5,
Mujeeb Ur Rahman,23,1308,839,44,19.06,3.84,29.7,
AL Phehlukwayo,34,13824,1325,43,30.81,5.74,32.1,
Shapoor Zadran,43,19338,1543,43,35.88,4.78,45,
Shadab Khan,28,1357,1051,42,25.02,4.64,32.3,
A Zampa,33,1630,1548,42,36.85,5.69,38.8,
AR Nurse,38,1930,1628,41,39.7,5.06,47,
PR Stirling,68,23064,1841,40,46.02,4.78,57.7,
JDS Neesham,41,1310,1413,40,35.32,6.47,32.7,
HH Pandya,41,1768,1638,40,40.95,5.55,44.2,
H Masakadza,84,18252,1622,39,41.58,5.32,46.8,
IS Sodhi,27,1410,1299,39,33.3,5.52,36.1,
NM Coulter-Nile,22,1130,1011,38,26.6,5.36,29.7,
LH Ferguson,21,1052,994,38,26.15,5.66,27.6,
N Pradeep,32,15552,1591,38,41.86,6.13,40.9,
Gulbadin Naib,45,15132,1319,37,35.64,5.22,40.9,
D Bishoo,37,1878,1498,37,40.48,4.78,50.7,
SK Raina,101,2126,1811,36,50.3,5.11,59,
KS Williamson,63,1377,1246,35,35.6,5.42,39.3,
CJ Chibhabha,58,1665,1615,35,46.14,5.81,47.6,
CH Morris,33,1512,1415,35,40.42,5.61,43.2,
MA Wood,35,1789,1649,34,48.5,5.53,52.6,
PKD Chase,24,12372,1356,34,39.88,6.57,36.4,
AR McBrine,32,1605,1212,33,36.72,4.52,48.6,
S Prasanna,39,19446,1767,32,55.21,5.45,60.7,
BV Vitori,24,1191,1149,32,35.9,5.77,37.2,
Imad Wasim,32,1341,1007,29,34.72,4.5,46.2,
SPD Smith,36,1046,931,27,34.48,5.34,38.7,
Aftab Alam,20,9378,772,27,28.59,4.93,34.7,
KW Richardson,18,935,854,27,31.62,5.48,34.6,
L Ngidi,13,6444,599,26,23.03,5.56,24.8,
CR Brathwaite,27,1284,1163,26,44.73,5.43,49.3,
AS Joseph,15,757,818,24,34.08,6.48,31.5,
Nasir Hossain,43,12552,988,24,41.16,4.71,52.3,
Mehidy Hasan Miraz,21,1098,785,24,32.7,4.28,45.7,
KM Jadhav,26,803,651,22,29.59,4.86,36.5,
DAS Gunaratne,25,834,723,22,32.86,5.2,37.9,
D Pretorius,14,6852,554,22,25.18,4.84,31.1,
JT Ball,18,947,980,21,46.66,6.2,45,
WP Masakadza,16,8586,734,21,34.95,5.12,40.9,
JE Root,60,1342,1299,20,64.95,5.8,67.1,
Rashid Khan,28,1414,923,20,46.15,3.91,70.7,
DT Tiripano,22,9012,885,20,44.25,5.88,45.1,
TS Chisoro,16,768,556,20,27.8,4.34,38.4,
Yasir Shah,18,951,807,19,42.47,5.09,50,
PVD Chameera,23,8946,796,19,41.89,5.33,47.1,
TK Curran,11,496,515,18,28.61,6.22,27.5,
MP Stoinis,19,774,781,18,43.38,6.05,43,
NM Lyon,15,822,662,18,36.77,4.83,45.6,
Faheem Ashraf,16,573,409,18,22.72,4.28,31.8,
B Muzarabani,18,786,733,18,40.72,5.59,43.6,
Usman Shinwari,9,354,275,18,15.27,4.66,19.6,
PADLR Sandakan,18,8412,913,17,53.7,6.5,49.5,
Mohammad Nawaz (3),14,675,583,16,36.43,5.18,42.1,
F Behardien,35,7464,719,14,51.35,5.76,53.4,
Rumman Raees,9,463,464,14,33.14,6.01,33,
C de Grandhomme,22,756,651,13,50.07,5.16,58.1,
Shaheen Shah Afridi,6,281,229,13,17.61,4.88,21.6,
MDK Perera,10,456,409,13,31.46,5.38,35,
T Shamsi,11,5718,488,13,37.53,5.1,44,
Rahmat Shah,19,4032,400,12,33.33,5.94,33.6,
TM Head,26,765,737,12,61.41,5.78,63.7,
CL White,19,331,351,12,29.25,6.36,27.5,
AJ Tye,7,387,392,12,32.66,6.07,32.2,
Sharafuddin Ashraf,14,5952,414,12,34.5,4.16,49.6,
Mosaddek Hossain,22,5412,454,11,41.27,5.02,49.2,
KMA Paul,11,508,498,11,45.27,5.88,46.1,
KK Ahmed,6,312,264,11,24,5.07,28.3,
Haris Sohail,15,528,503,10,50.3,5.71,52.8,
DM de Silva,22,516,464,10,46.4,5.39,51.6,
MN Waller,30,666,566,10,56.6,5.09,66.6,
WB Rankin,6,319,241,10,24.1,4.53,31.9,
MA Aponso,9,4218,377,10,37.7,5.34,42.3,
BRM Taylor,21,396,406,9,45.11,6.15,44,
KOK Williams,7,330,293,9,32.55,5.32,36.6,
Simi Singh,8,360,235,9,26.11,3.91,40,
PWH de Silva,9,2586,296,9,32.88,6.85,28.7,
RG Sharma,38,593,515,8,64.37,5.21,74.1,
Javed Ahmadi,15,363,294,8,36.75,4.83,45.6,
AC Agar,9,432,414,8,51.75,5.75,54,
CBRLS Kumara,8,3084,396,8,49.5,7.66,38.7,
SS Cottrell,6,256,269,8,33.62,6.3,32,
R Ngarava,9,375,409,8,51.12,6.5,47.1,
AB de Villiers,8,180,180,7,25.71,6,25.7,
TD Astle,5,168,150,7,21.42,5.35,24,
C Munro,22,474,408,7,58.28,5.16,67.7,
Mominul Haque,12,234,190,7,27.14,4.87,33.4,
MD Shanaka,10,216,219,7,31.28,6.08,30.8,
SF Mire,16,4158,433,7,61.85,6.23,59.5,
PWA Mulder,7,264,255,7,36.42,5.79,37.7,
JA Richardson,4,222,271,7,38.71,7.32,31.7,
B Stanlake,6,294,275,7,39.28,5.61,42,
MD Gunathilaka,17,294,288,6,48,5.87,49,
Mohammad Saifuddin,7,282,238,6,39.66,5.06,47,
SN Thakur,5,215,218,6,36.33,6.08,35.8,
KA Maharaj,4,1866,166,6,27.66,5.32,31.1,
O Thomas,4,168,204,6,34,7.28,28,
Sunzamul Islam,3,150,79,5,15.8,3.16,30,
B Mavuta,5,234,220,5,44,5.64,46.8,
Nazmul Islam,5,264,224,5,44.8,5.09,52.8,
V Kohli,48,641,665,4,166.25,6.22,160.2,
MJ Guptill,11,109,98,4,24.5,5.39,27.2,
Azhar Ali,14,258,260,4,65,6.04,64.5,
OC McCoy,2,84,109,4,27.25,7.78,21,
AT Rayudu,8,109,111,3,37,6.11,36.3,
Sabbir Rahman,17,2112,244,3,81.33,6.9,70.6,
R Powell,13,245,243,3,81,5.95,81.6,
Asghar Afghan,7,1386,91,3,30.33,3.92,46.3,
RL Chase,7,161,149,3,49.66,5.55,53.6,
DSK Madushanka,1,366,26,3,8.66,4.21,12.3,
LA Dawson,2,84,96,3,32,6.85,28,
Abu Hider,2,108,89,3,29.66,4.94,36,
Aamer Yamin,4,156,154,2,77,5.92,78,
F du Plessis,11,192,189,2,94.5,5.9,96,
AJ Finch,14,158,137,2,68.5,5.2,79,
A Balbirnie,3,60,68,2,34,6.8,30,
AK Markram,3,48,56,2,28,7,24,
D Elgar,4,96,67,2,33.5,4.18,48,
RP Burl,5,804,81,2,40.5,5.92,41,
GSNFG Jayasuriya,8,174,150,2,75,5.17,87,
SM Curran,2,72,90,2,45,7.5,36,
MG Neser,2,100,120,2,60,7.2,50,
LN Roche,3,138,157,2,78.5,6.82,69,
CAK Rajitha,3,93,92,2,46,5.81,47.5,
Fakhar Zaman,5,99,80,1,80,4.84,99,
MS Dhoni,2,36,31,1,31,5.16,36,
Soumya Sarkar,6,120,105,1,105,5.25,120,
SC Williams,1,24,30,1,30,7.5,24,
DL Chahar,1,24,37,1,37,9.25,24,
CJ Dala,2,102,121,1,121,7.11,102,
OP Stone,3,96,97,1,97,6.06,96,
DA Warner,1,6,8,0,0,8,0,2
Imam-ul-Haq,0,0,0,0,0,0,0,1
HM Amla,0,,0,0,0,0,0,1
JM Bairstow,0,0,0,0,0,0,0,1
S Dhawan,0,0,0,0,0,0,0,1
Q de Kock,0,,0,0,0,0,0,1
EC Joyce,0,0,0,0,0,0,0,1
EC Joyce,0,,0,0,0,0,0,1
SE Marsh,0,0,0,0,0,0,0,1
JC Buttler,0,0,0,0,0,0,0,1
EJG Morgan,0,0,0,0,0,0,0,1
DA Miller,0,,0,0,0,0,0,1
Babar Azam,0,0,0,0,0,0,0,
LRPL Taylor,4,42,35,0,0,5,0,
SD Hope,0,0,0,0,0,0,0,
SS Iyer,1,6,2,0,0,2,0,
EJG Morgan,0,,0,0,0,0,0,
SO Hetmyer,0,0,0,0,0,0,0,
JJ Roy,0,0,0,0,0,0,0,
AD Hales,0,0,0,0,0,0,0,
HM Nicholls,0,0,0,0,0,0,0,
MK Pandey,0,0,0,0,0,0,0,
Tamim Iqbal,2,6,13,0,0,13,0,
K Zondo,0,,0,0,0,0,0,
AM Rahane,0,0,0,0,0,0,0,
KL Rahul,0,0,0,0,0,0,0,
Mushfiqur Rahim,0,,0,0,0,0,0,
N Dickwella,0,,0,0,0,0,0,
Mohammad Shahzad,0,,0,0,0,0,0,
WU Tharanga,0,,0,0,0,0,0,
GH Worker,1,6,5,0,0,5,0,
Hashmatullah Shahidi,2,18,25,0,0,8.33,0,
TWM Latham,0,0,0,0,0,0,0,
Sarfraz Ahmed,1,12,15,0,0,7.5,0,
AT Carey,0,0,0,0,0,0,0,
E Lewis,0,0,0,0,0,0,0,
LD Chandimal,0,,0,0,0,0,0,
Imrul Kayes,0,,0,0,0,0,0,
WTS Porterfield,0,,0,0,0,0,0,
DM Bravo,0,0,0,0,0,0,0,
CR Ervine,0,,0,0,0,0,0,
KD Karthik,0,0,0,0,0,0,0,
Anamul Haque,0,,0,0,0,0,0,
MDKJ Perera,0,,0,0,0,0,0,
Asif Ali,0,0,0,0,0,0,0,
NJ O'Brien,0,,0,0,0,0,0,
TD Paine,0,0,0,0,0,0,0,
DJM Short,3,42,59,0,0,8.42,0,
RR Hendricks,0,,0,0,0,0,0,
Nasir Jamal,1,6,7,0,0,7,0,
R Murray,0,,0,0,0,0,0,
Najibullah Zadran,2,30,30,0,0,6,0,
BKG Mendis,2,192,28,0,0,8.4,0,
Mohammad Mithun,0,,0,0,0,0,0,
JM Vince,0,0,0,0,0,0,0,
H Klaasen,0,,0,0,0,0,0,
BJ Watling,0,0,0,0,0,0,0,
GC Wilson,0,,0,0,0,0,0,
JN Mohammed,8,146,131,0,0,5.38,0,
KOA Powell,0,0,0,0,0,0,0,
Shafiqullah,0,,0,0,0,0,0,
SW Billings,0,0,0,0,0,0,0,
S Samarawickrama,0,,0,0,0,0,0,
Liton Das,0,,0,0,0,0,0,
Ihsanullah,0,,0,0,0,0,0,
TK Musakanda,1,12,11,0,0,5.5,0,
RR Pant,0,0,0,0,0,0,0,
PS Masvaure,1,18,19,0,0,6.33,0,
PJ Moor,0,,0,0,0,0,0,
CA Lynn,0,0,0,0,0,0,0,
TS Kamunhukamwe,0,,0,0,0,0,0,
Umar Amin,3,42,24,0,0,3.42,0,
C Zhuwao,2,186,21,0,0,6.63,0,
TL Seifert,0,0,0,0,0,0,0,
C Jonker,0,,0,0,0,0,0,
SW Poynter,0,,0,0,0,0,0,
C Hemraj,1,7,9,0,0,7.71,0,
BB Chari,0,,0,0,0,0,0,
NGRP Jayasuriya,2,96,95,0,0,5.93,0,
Hazratullah Zazai,0,,0,0,0,0,0,
Najmul Hossain Shanto,0,,0,0,0,0,0,
FA Allen,4,138,131,0,0,5.69,0,
Abul Hasan,7,216,244,0,0,6.77,0,
MS Chapman,0,0,0,0,0,0,0,
S Kaul,3,162,179,0,0,6.62,0,
C Overton,1,42,55,0,0,7.85,0,
Fazle Mahmud,1,18,16,0,0,5.33,0,
Ariful Haque,1,18,17,0,0,5.66,0,
